Index,Pixel_X,Pixel_Y,Real_X,Real_Y
1,180.0,302.0,3.1524,43.2331
2,192.0,297.0,3.3625,44.1729
3,201.0,289.0,3.5201,45.6767
4,231.0,274.0,4.0455,48.4962
5,237.0,268.0,4.1506,49.6241
6,268.0,245.0,4.6935,53.9474
7,343.0,183.0,6.0070,65.6015
8,377.0,158.0,6.6025,70.3008
9,420.0,122.0,7.3555,77.0677
10,180.0,325.0,3.1524,38.9098
11,192.0,321.0,3.3625,39.6617
12,199.0,322.0,3.4851,39.4737
13,227.0,307.0,3.9755,42.2932
14,238.0,302.0,4.1681,43.2331
15,268.0,276.0,4.6935,48.1203
16,343.0,200.0,6.0070,62.4060
17,378.0,186.0,6.6200,65.0376
18,420.0,157.0,7.3555,70.4887
19,179.0,369.0,3.1349,30.6391
20,192.0,365.0,3.3625,31.3910
21,201.0,363.0,3.5201,31.7669
22,227.0,350.0,3.9755,34.2105
23,236.0,343.0,4.1331,35.5263
24,268.0,336.0,4.6935,36.8421
25,345.0,287.0,6.0420,46.0526
26,377.0,277.0,6.6025,47.9323
27,418.0,270.0,7.3205,49.2481
