UGY;VOF;u/u_av_line;Points:0;Points:1;Points:2
0;1;0;0.0782;0;0
2.6632e-08;1;4.537e-07;0.0782;2.85e-06;1.43e-07
5.3264e-08;1;9.0739e-07;0.0782;5.7e-06;2.86e-07
7.9896e-08;1;1.3611e-06;0.0782;8.55e-06;4.29e-07
1.0653e-07;1;1.8148e-06;0.0782;1.14e-05;5.72e-07
1.3316e-07;1;2.2685e-06;0.0782;1.425e-05;7.15e-07
1.5979e-07;1;2.7222e-06;0.0782;1.71e-05;8.58e-07
1.8642e-07;1;3.1759e-06;0.0782;1.995e-05;1.001e-06
2.1306e-07;1;3.6296e-06;0.0782;2.28e-05;1.144e-06
2.3969e-07;1;4.0833e-06;0.0782;2.565e-05;1.287e-06
2.6632e-07;1;4.537e-06;0.0782;2.85e-05;1.43e-06
2.9295e-07;1;4.9907e-06;0.0782;3.135e-05;1.573e-06
3.1958e-07;1;5.4444e-06;0.0782;3.42e-05;1.716e-06
3.4622e-07;1;5.898e-06;0.0782;3.705e-05;1.859e-06
3.7285e-07;1;6.3517e-06;0.0782;3.99e-05;2.002e-06
3.9948e-07;1;6.8054e-06;0.0782;4.275e-05;2.145e-06
4.2611e-07;1;7.2591e-06;0.0782;4.56e-05;2.288e-06
4.5274e-07;1;7.7128e-06;0.0782;4.845e-05;2.431e-06
4.7938e-07;1;8.1665e-06;0.0782;5.13e-05;2.574e-06
5.0601e-07;1;8.6202e-06;0.0782;5.415e-05;2.717e-06
5.3264e-07;1;9.0739e-06;0.0782;5.7e-05;2.86e-06
5.5927e-07;1;9.5276e-06;0.0782;5.985e-05;3.003e-06
5.859e-07;1;9.9813e-06;0.0782;6.27e-05;3.146e-06
6.1253e-07;1;1.0435e-05;0.0782;6.555e-05;3.289e-06
6.3917e-07;1;1.0889e-05;0.0782;6.84e-05;3.432e-06
6.658e-07;1;1.1342e-05;0.0782;7.125e-05;3.575e-06
6.9243e-07;1;1.1796e-05;0.0782;7.41e-05;3.718e-06
7.1906e-07;1;1.225e-05;0.0782;7.695e-05;3.861e-06
7.4569e-07;1;1.2703e-05;0.0782;7.98e-05;4.004e-06
7.7233e-07;1;1.3157e-05;0.0782;8.265e-05;4.147e-06
7.9896e-07;1;1.3611e-05;0.0782;8.55e-05;4.29e-06
8.2559e-07;1;1.4065e-05;0.0782;8.835e-05;4.433e-06
8.5222e-07;1;1.4518e-05;0.0782;9.12e-05;4.576e-06
8.7885e-07;1;1.4972e-05;0.0782;9.405e-05;4.719e-06
9.0549e-07;1;1.5426e-05;0.0782;9.69e-05;4.862e-06
9.3212e-07;1;1.5879e-05;0.0782;9.975e-05;5.005e-06
9.5875e-07;1;1.6333e-05;0.0782;0.0001026;5.148e-06
9.8538e-07;1;1.6787e-05;0.0782;0.00010545;5.291e-06
1.012e-06;1;1.724e-05;0.0782;0.0001083;5.434e-06
1.0386e-06;1;1.7694e-05;0.0782;0.00011115;5.577e-06
1.0653e-06;1;1.8148e-05;0.0782;0.000114;5.72e-06
1.0919e-06;1;1.8602e-05;0.0782;0.00011685;5.863e-06
