UGY;VOF;u/u_av;Points:0;Points:1;Points:2
0;1;0;0.0782;0;0
-2.9898e-08;1;-4.4625e-07;0.0782;2.7e-06;0
-5.9797e-08;1;-8.9249e-07;0.0782;5.4e-06;0
-8.9695e-08;1;-1.3387e-06;0.0782;8.1e-06;0
-1.1959e-07;1;-1.785e-06;0.0782;1.08e-05;0
-1.4949e-07;1;-2.2312e-06;0.0782;1.35e-05;0
-1.7939e-07;1;-2.6775e-06;0.0782;1.62e-05;0
-2.0929e-07;1;-3.1237e-06;0.0782;1.89e-05;0
-2.3919e-07;1;-3.57e-06;0.0782;2.16e-05;0
-2.6908e-07;1;-4.0162e-06;0.0782;2.43e-05;0
-2.9898e-07;1;-4.4625e-06;0.0782;2.7e-05;0
-3.2888e-07;1;-4.9087e-06;0.0782;2.97e-05;0
-3.5878e-07;1;-5.355e-06;0.0782;3.24e-05;0
-3.8868e-07;1;-5.8012e-06;0.0782;3.51e-05;0
-4.1858e-07;1;-6.2475e-06;0.0782;3.78e-05;0
-4.4847e-07;1;-6.6937e-06;0.0782;4.05e-05;0
-4.7837e-07;1;-7.14e-06;0.0782;4.32e-05;0
-5.0827e-07;1;-7.5862e-06;0.0782;4.59e-05;0
-5.3817e-07;1;-8.0325e-06;0.0782;4.86e-05;0
-5.6807e-07;1;-8.4787e-06;0.0782;5.13e-05;0
-5.9797e-07;1;-8.9249e-06;0.0782;5.4e-05;0
-6.2786e-07;1;-9.3712e-06;0.0782;5.67e-05;0
-6.5776e-07;1;-9.8174e-06;0.0782;5.94e-05;0
-6.8766e-07;1;-1.0264e-05;0.0782;6.21e-05;0
-7.1756e-07;1;-1.071e-05;0.0782;6.48e-05;0
-7.4746e-07;1;-1.1156e-05;0.0782;6.75e-05;0
-7.7735e-07;1;-1.1602e-05;0.0782;7.02e-05;0
-8.0725e-07;1;-1.2049e-05;0.0782;7.29e-05;0
-8.3715e-07;1;-1.2495e-05;0.0782;7.56e-05;0
-8.6705e-07;1;-1.2941e-05;0.0782;7.83e-05;0
-8.9695e-07;1;-1.3387e-05;0.0782;8.1e-05;0
